ImageId,PredictionString
ID_8a6e65317,16 0.254839 -2.57534 -3.10256 7.96539 3.20066 11.0225 56 0.181647 -1.46947 -3.12159 9.60332 4.66632 19.339 70 0.163072 -1.56865 -3.11754 10.39 11.2219 59.7825 70 0.141942 -3.1395 3.11969 -9.59236 5.13662 24.7337 46 0.163068 -2.08578 -3.11754 9.83335 13.2689 72.9323
ID_337ddc495,66 0.163988 0.192169 -3.12112 -3.17424 6.55331 31.4339 60 0.112482 -2.96307 3.13951 -14.7269 10.2077 54.8175 28 0.186114 0.35728 -3.10043 -7.49818 10.3112 54.032 66 0.0209679 0.218402 3.12213 -10.3531 11.2453 63.714 46 0.195428 -2.84778 -3.13394 -22.7711 13.0704 72.2694 70 0.195568 2.13627 -3.13969 -44.5869 11.2091 62.9879 2 0.112481 0.504593 3.13951 -24.6755 18.2973 104.288 50 0.112334 0.406024 3.13547 -22.1187 17.1767 94.0015
ID_a381bf4d0,43 0.162877 0.00519276 -3.02676 2.1876 3.53427 13.3436 51 0.158577 0.158274 -3.06328 2.07558 12.2943 65.3173 35 0.165934 0.608676 -3.11434 17.0381 9.29676 46.2082 18 0.203947 0.785978 -3.09077 8.91099 10.3547 53.1728 8 0.151796 0.39656 -3.04874 4.5926 8.39404 43.8599 35 0.168738 -3.07809 3.14156 -5.16107 3.31526 13.0684 16 0.153907 -3.10425 3.13187 -10.1679 4.77389 23.9775 46 0.198176 -3.05556 -3.12274 -5.78513 5.5546 28.7511 71 0.133551 -3.09861 3.13331 -13.5746 8.73601 46.872 46 0.19931 -2.96848 -3.03849 -15.1259 25.5187 149.73 16 0.158577 0.0501459 -3.06328 -0.327945 4.52108 20.3165 6 0.19946 0.22768 -3.03878 -3.32415 9.91577 53.6321 16 0.199314 0.0469982 -3.03849 -5.66794 14.0443 79.0041 16 0.199461 0.165179 -3.03878 -3.89758 15.2622 86.8372 46 0.199461 0.311656 -3.03879 -4.12993 21.3742 122.086 16 0.158577 -0.0785882 -3.06327 1.09611 12.5925 69.3307 2 0.199461 0.177558 -3.03878 -0.875121 21.4044 122.087 16 0.165931 -2.24401 -3.11434 19.0829 7.88789 37.2926 16 0.203947 0.29008 -3.09076 9.99355 9.19239 47.2033 16 0.158573 2.53113 -3.06328 3.59664 10.4137 55.5836 16 0.199461 0.0886425 -3.03878 -2.79895 19.487 112.592 16 0.153906 -3.06239 3.13187 -9.88157 3.35314 14.4199 16 0.133556 -3.00358 3.1333 -11.7902 6.30143 33.1739 2 0.133558 3.11855 3.1333 -14.4675 10.5948 59.7663 16 0.199312 -3.00664 -3.03849 -13.6237 20.406 119.344
ID_7c4a3e0aa,43 0.126957 -3.04442 -3.10883 -14.738 24.6389 143.13 46 0.126956 0.074548 -3.10883 -1.228 20.7252 115.017 46 0.126957 -0.168476 -3.10883 -1.77201 29.327 170.282
ID_8b510fad6,37 0.16017 0.00862796 -3.0887 -3.04548 3.4977 12.9646 40 0.0740393 0.00547091 -3.06445 -6.00684 3.97183 18.6098 51 0.190515 0.0287913 -3.0989 -9.98165 4.29859 20.9312 54 0.170477 -0.0433483 -3.14098 -15.8043 7.27552 40.8326 66 0.141994 -0.0665874 -3.08225 -9.03233 5.39682 30.4054 16 0.154922 -0.0851045 -3.10449 -8.8423 6.98108 39.3892 66 0.137141 0.0139718 -3.09444 -6.81517 7.26625 39.5457 27 0.137359 -0.177637 3.10229 1.54337 9.08205 50.8024 16 0.144877 -0.615654 -3.11001 5.92471 10.6381 59.8994 48 0.278034 1.76816 -3.12076 20.0647 15.0819 83.0043 50 0.0319758 0.0499883 3.13311 -13.77 8.5035 53.4142 16 0.13736 -0.0652638 3.10229 0.0163464 3.3991 12.7057 16 0.137141 -0.0172202 -3.09445 -2.95282 5.23185 25.5355 16 0.190515 0.0205141 -3.09891 -11.233 4.11676 21.1312 46 0.137141 -0.0914634 -3.09444 -4.40243 11.066 62.0631 46 0.137141 0.177821 -3.09444 -8.87623 12.7434 76.9787 16 0.13736 -0.099448 3.10228 0.386222 6.21047 30.8618 2 0.137359 -0.366862 3.10229 0.291282 7.0199 38.6946 16 0.13736 -0.0502545 3.10229 -3.35975 12.8781 76.522
ID_679502721,50 0.173958 1.6934 -3.07 17.2953 5.82861 22.8229 40 0.167619 -0.0552232 -2.94226 8.04911 4.41761 16.1444 35 0.188535 0.00566828 -3.1402 9.35166 8.05248 37.3562
ID_f681b269f,70 0.201977 -0.0482845 -3.07942 3.94442 5.67719 24.0584 70 0.173046 -0.0539203 -3.08921 -0.762997 6.4727 29.456 12 0.192354 2.8921 -3.14005 -5.33972 9.99278 49.9205 35 0.176967 3.09295 -3.13965 -5.30012 5.51387 24.2645 37 0.305862 1.50338 -3.10151 -14.8994 7.32562 36.2948 2 0.201977 0.00475977 -3.07941 8.51776 23.3942 121.891 46 0.173046 0.51032 -3.08921 -0.0649994 17.8863 93.5093 46 0.176972 3.11986 -3.13965 -10.2372 10.3533 52.9438 2 0.305865 3.13058 -3.10151 -5.29462 2.31415 7.77575
ID_2803cf7b5,8 0.172028 3.1064 -3.10087 -18.0211 4.98543 27.6988 46 0.197476 1.13231 3.14104 -19.2265 6.54345 37.0335 28 0.126736 0.105196 3.12778 14.588 5.88608 24.632 35 0.112837 0.0817151 3.11517 17.5575 16.0402 94.6429 16 0.197478 3.1086 3.14104 -19.3634 7.87032 44.6092 66 0.19271 0.77389 -3.0982 -19.3459 8.5851 49.8995 16 0.112837 0.207455 3.11516 7.41833 11.2064 64.5857 16 0.112837 -0.0252227 3.11517 -0.525428 6.42136 34.8198 18 0.112951 0.00758063 3.11566 -1.23575 13.4518 83.0377 2 0.112951 0.0215316 3.11566 2.68883 15.2462 95.1177
ID_89449e126,7 0.156087 -0.0318094 -3.06916 2.83965 2.2697 6.88953 70 0.198847 -3.05577 -3.10247 -12.926 4.87632 24.4547 35 0.167624 -3.115 -3.10558 -10.9598 5.41402 27.214 35 0.164539 -3.10416 -3.09685 -12.2429 8.00756 42.7122 71 0.147179 3.13446 3.12029 -12.7888 9.44524 51.3388 61 0.0413756 1.22884 -3.01464 -12.5389 10.4515 61.6348 46 0.0413758 0.194289 -3.01464 -1.09298 20.3787 117.595 16 0.0413758 0.0175773 -3.01464 2.17089 23.217 135.801
ID_2ad1fc1b3,28 0.1514 0.0071941 -3.10048 2.94173 8.31218 42.174 70 0.084422 0.0202487 -3.08525 0.420349 12.4807 71.0847 8 0.157228 3.10853 -3.12575 -12.5613 8.67351 50.9434 71 0.157509 3.07502 3.12739 -13.4003 6.25097 34.134 27 0.140114 3.07486 3.1233 -15.1264 5.91272 30.9138 23 0.156063 3.14082 -3.13545 -16.8097 5.30608 26.5743 16 0.151401 -0.0573303 -3.10047 7.18157 12.53 69.851 16 0.1514 -0.158367 -3.10047 3.38366 10.136 55.711 46 0.0844232 -1.76705 -3.08525 -6.02836 23.0206 139.3 16 0.157229 -3.13504 -3.12575 -12.1132 7.56391 42.5826 46 0.157229 3.05408 -3.12575 -14.4787 8.04806 44.6074 16 0.140119 2.9977 3.1233 -18.0226 6.03216 35.5533
